"ISO","Language","Family","Area","H","H_unigram","L2prop","MC","NumChap","Population","Rangesize","vehicularity","ethnologue_L2_users","used_as_L2_by","notes"
"ban","Bali","Austronesian","Southeast-Asia",1.41692578792572,9.49230194091797,0,0.5,4,3330000,5888.946126,0,FALSE,"bqy",""
"bao","Waimaha","Tucanoan","NE-South-America",1.32810401916504,8.88609886169434,0,NA,NA,700,2618.481947,0,FALSE,"tue",""
"bar","Bavarian","Indo-European","Europe",1.90912544727325,9.15712451934814,0,NA,NA,250000,NA,0,FALSE,NA,""
"bas","Basaa","Niger-Congo","African-Savannah",NA,NA,0,0.5,2,230000,16076.92329,0,FALSE,"btc:gyi:hij:mlb:baf",""
"bav","Vengo","Niger-Congo","African-Savannah",1.48809468746185,7.95560550689697,0,0.393939405679703,11,27000,191.845107,0,FALSE,NA,""
"baw","Bambili-Bambui","Niger-Congo","African-Savannah",NA,NA,0,0.333333343267441,3,10000,61.4451976,0,FALSE,NA,""
"bba","Baatonum","Niger-Congo","African-Savannah",1.66652321815491,8.47918224334717,NA,NA,NA,560000,33159.01732,1,FALSE,"bqc:tbz:mkl:ntm:wwa:pil",""
"bbb","Barai","Trans-New-Guinea","S-New-Guinea",1.33824813365936,8.570631980896,0,0.694444417953491,9,800,991.4269014,0,FALSE,NA,""
"bbc","Batak Toba","Austronesian","Southeast-Asia",1.58244872093201,8.30562114715576,0,0.222222223877907,9,2000000,15797.85027,0,FALSE,NA,""
"bbd","Bau","Trans-New-Guinea","N-Coast-New-Guinea",NA,NA,0,1,2,3060,40.19750055,0,FALSE,NA,""
"bbl","Bats","North-Caucasian","Greater-Mesopotamia",NA,NA,0,0.625,8,3420,206.8156691,0,FALSE,NA,""
"bbo","Northern Bobo Madaré","Niger-Congo","African-Savannah",NA,NA,0,0.5,2,60000,3942.128595,0,FALSE,NA,""
"bbr","Girawa","Trans-New-Guinea","",1.36078190803528,8.58609104156494,0,NA,NA,4000,363.910098,0,FALSE,NA,""
"bca","Central Bai","Sino-Tibetan","Southeast-Asia",NA,NA,0,0,6,800000,21201.16055,0,FALSE,"lis:nxq:pmi:pmj:atb:zal",""
"bch","Bariai","Austronesian","N-Coast-New-Guinea",1.3208909034729,7.98264122009277,0,NA,NA,1380,79.81677152,0,FALSE,"aie:anz",""
"bci","Baoulé","Niger-Congo","African-Savannah",NA,NA,0,0.5,2,2130000,28826.43896,0,FALSE,"abi:ati:nhb:kxb:yre",""
"bck","Bunaba","Australian","N-Australia",NA,NA,0,1,3,160,4678.007021,0,FALSE,NA,""
"bcl","Central Bicolano","Austronesian","",1.46036851406097,8.4158992767334,NA,0.333333343267441,6,2500000,7138.190112,1,FALSE,"abx:agk:bks:bto:srv",""
