ISO,Language,Family,Area,H,H_unigram,L2prop,MC,NumChap,Population,Rangesize,vehicularity,ethnologue_L2_users,used_as_L2_by,notes,NOTA BENE! Remember to use Ethnologue version 20 (the 2017 version)!,,,
aty,Aneityum,Austronesian,Oceania,,,0,0.4666666687,10,900,158.2773064,0,FALSE,no information,,,,,
auc,Waorani,Language-isolate,NE-South-America,1.316502929,9.318964005,0,0.8095238209,7,1650,8872.151547,0,FALSE,no information,The language is considered to be endangered due to emerging Huaorani-Quichua bilingualism brought about by mixed marriages and bilingual education programs taught by Quichua teachers who do not speak Huaorani (Crevels 2007).,,,,
aui,Anuki,Austronesian,,1.500717163,9.013493538,0,,,890,160.1259034,0,FALSE,"Used as L2 by Dima [jma], Doga [dgg].",,,,,
aun,Molmo One,Torricelli,N-Coast-New-Guinea,,,0.2857142985,0.75,4,500,28.81205123,0,TRUE,no information,,,,,
auw,Awyi,Border,N-Coast-New-Guinea,,,0,1,1,350,173.9125367,0,FALSE,no information,,,,,
auy,Awiyaana,Trans-New-Guinea,Interior-New-Guinea,1.470359921,11.13335705,0,,,11100,351.8053569,0,FALSE,no information,,,,,
ava,Avar,North-Caucasian,Greater-Mesopotamia,1.68226552,11.09218788,,0.8571428657,7,788000,12296.88591,1,FALSE,"Used as L2 by Akhvakh [akv], Andi [ani], Archi [aqc], Bagvalal [kva], Bezhta [kap], Botlikh [bph], Chamalal [cji], Dido [ddo], Ghodoberi [gdo], Hinukh [gin], Hunzib [huz], Karata [kpt], Khvarshi [khv], Tindi [tin], Tsakhur [tkr].",,,,,
avi,Avikam,Niger-Congo,African-Savannah,,,0,0.5,2,21000,382.0475632,0,FALSE,no information,,,,,
avt,Au,Torricelli,N-Coast-New-Guinea,1.354162812,8.41404438,0,0.25,8,8000,219.4572077,0,FALSE,no information,,,,,
avu,Avokaya,Nilo-Saharan,African-Savannah,1.402974725,7.681089878,0,0.625,6,65000,4625.127603,0,FALSE,"Used as L2 by Baka [bdh], Mündü [muh].",,,,,
awa,Awadhi,Indo-European,Indic,2.006752968,9.177961349,0.01475271303,,,38261000,42290.64936,0,TRUE,no information,,,,,
awb,Awa,Trans-New-Guinea,Interior-New-Guinea,1.453726888,10.44798851,0,0.8571428657,7,2050,327.12529,0,FALSE,no information,,,,,
awi,Aekyom,Trans-New-Guinea,Interior-New-Guinea,1.500607491,8.485360146,0,1,2,8000,4790.394801,0,FALSE,no information,,,,,
awn,Awngi,Afro-Asiatic,Greater-Abyssinia,,,0.1163715199,0.625,4,500000,5991.906932,0,TRUE,no information,"Also use Amharic [amh], mostly in towns, and among Northern Awngi, only males know it; countryside population has very limited knowledge of the language.",,,,
ayc,Southern Aymara,Aymaran,,,,0,0.6729024649,21,219000,9294.266465,0,FALSE,no information,,,,,
ayn,Sanaani Spoken Arabic,Afro-Asiatic,Greater-Mesopotamia,,,0,1,1,7600000,119383.3202,0,FALSE,Used as L2 by Rāziḥī [rzh].,,,,,
ayo,Ayoreo,Zamucoan,SE-South-America,1.38608253,8.537174225,0,1,3,3070,70112.10148,0,FALSE,no information,,,,,
ayr,Central Aymara,Aymaran,Andean,1.527080059,11.7001133,0,,,2262900,252666.8456,0,FALSE,"Used as L2 by Chipaya [cap], North Bolivian Quechua [qul].",,,,,
ayz,Mai Brat,Maybrat,N-Coast-New-Guinea,,,0,0.2917107642,27,20000,8377.786824,0,FALSE,Used as L2 by Tehit [kps].,,,,,
azb,South Azerbaijani,Altaic,Greater-Mesopotamia,1.79471612,10.92284584,,0.8638888597,9.5,12330000,132020.1074,1,FALSE,"Used as L2 by Armenian [hye], Iranian Persian [pes].",,,,,
azg,San Pedro Amuzgos Amuzgo,Otomanguean,,1.247218609,8.449086189,0,,,4000,58.12915342,0,FALSE,no information,,,,,
azz,Highland Puebla Nahuatl,Uto-Aztecan,Mesoamerica,1.344388008,8.701943398,0,,,125000,516.8590513,0,FALSE,no information,,,,,
baa,Babatana,Austronesian,Oceania,,,0,0.1111111119,9,7070,1998.587739,0,FALSE,no information,,,,,
bag,Tuki,Niger-Congo,African-Savannah,,,0,1,3,26000,1594.601436,0,FALSE,Used as L2 by Leti [leo].,,,,,
bak,Bashkir,Altaic,Inner-Asia,1.837756038,10.90820408,0,0.6666666865,12,1380000,104855.7169,0,FALSE,no information,,,,,
